MOF_name,n_atoms,n_C,formula,min_interatomic_dist_A,overlap_pairs_sub_0.8A,non_mof_flag,hard_flag,hard_reason,isolated_atoms_115,over_C_115,over_H_115,over_N_115
ABAYIO_clean,672,288,C288O192H96Mn48Cl48,0.962,0,False,False,Valid,0,0,0,0
ABAYOU_clean,672,288,C288O192H96Co48Cl48,0.929,0,False,False,Valid,0,0,0,0
ABETIN_clean,784,416,C416H288N64Cu16,0.929,0,False,False,Valid,0,0,0,0
ABEXEN_clean,480,240,C240H120O96In12S12,0.93,0,False,False,Valid,0,0,0,0
ABIXOZ_clean,75,0,O52Mo12P8Co3,1.298,0,True,True,Non-MOF (0 Carbons),0,0,0,0
ABULOB_clean,92,0,O48P16H16Be12,1.299,0,True,True,Non-MOF (0 Carbons),0,0,0,0
ABUWOJ_clean,224,96,C96H56O56Zn16,0.93,0,False,False,Valid,0,0,0,0
ACAJIZ_clean,232,88,H96C88O32Cu8N8,0.929,0,False,False,Valid,0,0,0,0
ACAJOF_clean,244,92,H104C92O32Cu8N8,0.93,0,False,False,Valid,0,0,0,0
ACIBOE_clean,160,72,C72O52H24Zn12,0.683,3,False,True,Atomic overlap (min_dist=0.683Å); Isolated atoms (9),9,1,0,0
ACODON_clean,176,86,C86H50O32Tb4P4,0.691,8,False,True,Atomic overlap (min_dist=0.691Å); Isolated atoms (8),8,0,0,0
ACOGAB_clean,174,64,H72C64N24O8Br4Cd2,0.814,0,False,False,Valid,0,0,0,0
ACOGEF_clean,174,64,H72C64N24O8I4Cd2,0.814,0,False,False,Valid,0,0,0,0
ACOLOV_clean,456,208,C208H160O76Cd12,0.879,0,False,False,Valid,0,0,0,0
ACUBAB_clean,78,0,O48Zn16P12Cl2,1.502,0,True,True,Non-MOF (0 Carbons),0,0,0,0
ACUFEK_clean,744,384,C384H192O96N48Cu24,0.743,32,False,True,Atomic overlap (min_dist=0.743Å),0,0,0,0
ACUJOZ_manual,1278,648,C648H288O270Cu54Cr18,1.14,0,False,False,Valid,0,0,0,0
ADARAA_clean,2112,1152,C1152H480O216Br96N96Co72,0.947,0,False,False,Valid,0,0,0,0
ADASAB_charged,1088,504,C504H264O176N96Cu48,0.708,40,False,True,Atomic overlap (min_dist=0.708Å); Isolated atoms (40),40,0,0,0
ADASEF_clean,776,360,C360H168O104N96Cu48,0.759,4,False,True,Atomic overlap (min_dist=0.759Å); Isolated atoms (16),16,0,0,0
ADATAC_clean,840,408,C408H240O120N48Zn24,0.732,24,False,True,Atomic overlap (min_dist=0.732Å); Isolated atoms (18),18,0,0,0
ADATEG_manual,1160,672,C672H360O96Cu24N8,0.789,12,False,True,Atomic overlap (min_dist=0.789Å); Isolated atoms (140),140,0,0,0
ADATIK_clean,872,384,C384H192O128N120Cu48,0.528,60,False,True,Atomic overlap (min_dist=0.528Å); Isolated atoms (132),132,0,0,0
