MOF_name,n_C,formula,non_mof_flag,hard_flag,hard_reason
ABAYIO_clean,288,C288O192H96Mn48Cl48,False,False,Valid
ABAYOU_clean,288,C288O192H96Co48Cl48,False,False,Valid
ABETIN_clean,416,C416H288N64Cu16,False,False,Valid
ABEXEN_clean,240,C240H120O96In12S12,False,False,Valid
ABIXOZ_clean,0,O52Mo12P8Co3,True,True,Non-MOF (0 Carbons)
ABULOB_clean,0,O48P16H16Be12,True,True,Non-MOF (0 Carbons)
ABUWOJ_clean,96,C96H56O56Zn16,False,False,Valid
ACAJIZ_clean,88,H96C88O32Cu8N8,False,False,Valid
ACAJOF_clean,92,H104C92O32Cu8N8,False,False,Valid
ACIBOE_clean,72,C72O52H24Zn12,False,True,Atomic overlap (min_dist=0.683Å); Isolated atoms (9)
ACODON_clean,86,C86H50O32Tb4P4,False,True,Atomic overlap (min_dist=0.691Å); Isolated atoms (8)
ACOGAB_clean,64,H72C64N24O8Br4Cd2,False,False,Valid
ACOGEF_clean,64,H72C64N24O8I4Cd2,False,False,Valid
ACOLOV_clean,208,C208H160O76Cd12,False,False,Valid
ACUBAB_clean,0,O48Zn16P12Cl2,True,True,Non-MOF (0 Carbons)
ACUFEK_clean,384,C384H192O96N48Cu24,False,True,Atomic overlap (min_dist=0.743Å)
ACUJOZ_manual,648,C648H288O270Cu54Cr18,False,False,Valid
ADARAA_clean,1152,C1152H480O216Br96N96Co72,False,False,Valid
ADASAB_charged,504,C504H264O176N96Cu48,False,True,Atomic overlap (min_dist=0.708Å); Isolated atoms (40)
ADASEF_clean,360,C360H168O104N96Cu48,False,True,Atomic overlap (min_dist=0.759Å); Isolated atoms (16)
ADATAC_clean,408,C408H240O120N48Zn24,False,True,Atomic overlap (min_dist=0.732Å); Isolated atoms (18)
ADATEG_manual,672,C672H360O96Cu24N8,False,True,Atomic overlap (min_dist=0.789Å); Isolated atoms (140)
ADATIK_clean,384,C384H192O128N120Cu48,False,True,Atomic overlap (min_dist=0.528Å); Isolated atoms (132)
ADATOQ_clean,312,C312H288N80Ag12,False,False,Valid
ADAXEK_clean,26,C26H16O10Co2N2,False,False,Valid
ADAXIO_clean,104,C104H64O40N8Co8,False,False,Valid
ADOCEC_clean,80,C80H64O52V32N16Ni4,False,False,Valid
ADODAA_charged,96,C96O56H48N48Cu24,False,True,Isolated atoms (12)
ADODII_clean,52,C52H40O19La2,False,True,Atomic overlap (min_dist=0.785Å)
ADODOO_clean,52,C52H40O19Eu2,False,True,Atomic overlap (min_dist=0.785Å); Isolated atoms (2)
ADODUU_clean,52,C52H40O19Tb2,False,True,Atomic overlap (min_dist=0.791Å)
ADOGEH_clean,288,H288C288O192N96Cu48,False,True,Atomic overlap (min_dist=0.536Å)
ADUROI_clean,1008,C1008H624O288N144Zn48,False,True,Atomic overlap (min_dist=0.638Å); Isolated atoms (96)
ADUWON_clean,432,C432H288O144Ni12,False,False,Valid
AFEJOK_ion_b,40,C40H32F18N9O3P3Cu2,False,False,Valid
AFITEP_clean,52,C52H32O8N4Zn2,False,False,Valid
AFITUF_clean,252,C252H120O48Br24Zn12N12,False,False,Valid
AFIXAO_clean,120,H120C120N80Co20,False,False,Valid
AFIXES_clean,120,H120C120N80Co20,False,False,Valid
AFOTOF_clean,42,C42H24O12Eu2,False,True,Isolated atoms (4)
AFOTUL_clean,42,C42H24O12Sm2,False,True,Isolated atoms (4)
AFOVAT_clean,42,C42H24O12La2,False,True,Isolated atoms (4)
AFOVEX_clean,42,C42H24O12Ce2,False,True,Isolated atoms (4)
AFOVIB_clean,42,C42H24O12Gd2,False,True,Isolated atoms (4)
AFOVOH_clean,42,C42H24O12Nd2,False,True,Isolated atoms (4)
AFOYAW_clean,50,C50H42N30Cu4O2,False,True,Atomic overlap (min_dist=0.782Å)
AFOYIE_clean,40,C40H32N24Cu4,False,False,Valid
AFOYOK_clean,72,C72H24N24Cu4,False,False,Valid
AFUKET_clean,256,C256H200O76N16Mn12,False,False,Valid
AFUKIX_clean,262,C262H188O76Mn12N12,False,True,Atomic overlap (min_dist=0.711Å); Isolated atoms (8)
AFUPEX_clean,36,C36O24H12Tm4,False,False,Valid
AGABIU_clean,60,C60O36N12Li6Ni4,False,False,Valid
AGARUW_clean,44,C44O44H16N16La8,False,False,Valid
AGOFEJ_clean,400,C400H352N64O64Cu24,False,False,Valid
AGONAM_clean,40,C40O32H12Cd4,False,False,Valid
AGONEQ_clean,40,C40O32H8Cd4,False,False,Valid
AGOVOJ_clean,376,C376O88In24N24,False,False,Valid
AGUBUA_clean,0,O48P24Zn12H8,True,True,Non-MOF (0 Carbons)
AGUVOO_charged,144,N192H144C144O32Cu24F24,False,False,Valid
AHEQAH_clean,132,C132H60O24Ho4,False,False,Valid
AJAKON_clean,168,C168H96O48Cd10N8,False,False,Valid
AJAYIT_clean,48,H60C48O48N12Cu6Er4,False,False,Valid
AJIGIL_clean,248,H348C248N64O56Na8Br4Co4P4,False,False,Valid
AJOTEY_clean,0,O48P16V12,True,True,Non-MOF (0 Carbons)
AJOXAA_clean,72,C72O48H24S12Nd8,False,False,Valid
