Target,Feature_i,Feature_j,common_contrib
log10_CO2_TSA_regen_heat,void_fraction,ASA_m2_cm3,-0.0701929792624435
log10_CO2_TSA_regen_heat,NASA_m2_g,NASA_m2_cm3,0.023231295022101417
log10_CO2_TSA_regen_heat,LCD_A,ASA_m2_cm3,-0.0213222742358411
log10_CO2_TSA_regen_heat,void_fraction,ligand_n_aromatic_rings,-0.014614522669223806
log10_CO2_TSA_regen_heat,LCD_A,PLD_A,-0.00854122921076117
log10_CO2_TSA_regen_heat,ASA_m2_cm3,PLD_A,0.00770355234028175
log10_CO2_TSA_regen_heat,ligand_n_aromatic_rings,ligand_TPSA,0.007616170754816243
log10_CO2_TSA_regen_heat,void_fraction,LCD_A,0.007250529086325841
log10_CO2_TSA_regen_heat,(higher-order),,0.2003431886836965
CO2_Qst_CC_mean,void_fraction,ASA_m2_g,0.045736703468431616
CO2_Qst_CC_mean,void_fraction,ASA_m2_cm3,-0.03522480801521455
CO2_Qst_CC_mean,NASA_m2_g,NASA_m2_cm3,0.031978002762172886
CO2_Qst_CC_mean,ligand_n_aromatic_rings,ligand_n_heavy,-0.011861908626666584
CO2_Qst_CC_mean,void_fraction,LCD_A,-0.010584465008621424
CO2_Qst_CC_mean,LCD_A,ASA_m2_cm3,-0.009305244912860777
CO2_Qst_CC_mean,void_fraction,ligand_n_aromatic_rings,-0.008544758425873433
CO2_Qst_CC_mean,void_fraction,O_coord_ratio,0.008454718407556738
CO2_Qst_CC_mean,(higher-order),,0.5018360897649855
CO2_Qst_CC_1bar,NASA_m2_g,NASA_m2_cm3,0.025670082435975905
CO2_Qst_CC_1bar,void_fraction,ASA_m2_cm3,0.025433398707078947
CO2_Qst_CC_1bar,ligand_n_heavy,ligand_n_aromatic_rings,0.01263696869408959
CO2_Qst_CC_1bar,ligand_n_aromatic_rings,ligand_TPSA,0.012060163326566231
CO2_Qst_CC_1bar,ligand_n_heavy,ligand_TPSA,0.011566449410712387
CO2_Qst_CC_1bar,void_fraction,LFPD_A,0.009816606746427481
CO2_Qst_CC_1bar,void_fraction,LCD_A,-0.009691252135462625
CO2_Qst_CC_1bar,void_fraction,ligand_n_aromatic_rings,-0.00965781413082789
CO2_Qst_CC_1bar,(higher-order),,0.4354612812254036
log10_CO2N2_actual_selectivity,NASA_m2_g,NASA_m2_cm3,0.02764763597451314
log10_CO2N2_actual_selectivity,ligand_n_aromatic_rings,ligand_TPSA,0.020741975355923925
