Target,Feature,dominance,unique,total_R2_single
log10_CO2_TSA_regen_heat,void_fraction,0.10256079462910753,0.08949022915571281,0.16763618157502236
log10_CO2_TSA_regen_heat,ligand_n_heavy,0.00731154436680906,0.001134003596445332,0.008867477337242358
log10_CO2_TSA_regen_heat,NASA_m2_g,0.010095909708343342,0.005276666195122459,0.01158116844472079
log10_CO2_TSA_regen_heat,LCD_A,0.07439120370646785,0.02308836783618784,0.18674163331740545
log10_CO2_TSA_regen_heat,ligand_n_aromatic_rings,0.03329706325478353,0.03412244721619195,0.021755529417185393
log10_CO2_TSA_regen_heat,NASA_m2_cm3,0.008474802754596403,0.002132984353639067,0.011731427388325333
log10_CO2_TSA_regen_heat,ASA_m2_cm3,0.033101445238389454,0.07019320048160815,0.00041325607512765483
log10_CO2_TSA_regen_heat,PLD_A,0.07299811445811161,0.009960380015903603,0.19908940151646803
log10_CO2_TSA_regen_heat,ligand_TPSA,0.005113210226654255,0.000532210771331254,0.004756595018880705
log10_CO2_TSA_regen_heat,topo_pcu,0.015379307408012266,0.014076764890617488,0.01636400091604384
log10_CO2_TSA_regen_heat,ligand_MW,0.006114383203403868,3.474145654758232e-05,0.008401972027143101
log10_CO2_TSA_regen_heat,ligand_LogP,0.006632116790622838,0.0018380686558504555,0.00575284775486129
CO2_Qst_CC_mean,void_fraction,0.12779939234178245,0.05997796886256568,0.5047827908988124
CO2_Qst_CC_mean,NASA_m2_g,0.009965994062549582,0.006472392555433193,0.01255462751332681
CO2_Qst_CC_mean,NASA_m2_cm3,0.008877964382340654,0.002431298821123473,0.013944260440351908
CO2_Qst_CC_mean,ligand_n_aromatic_rings,0.02271397495633849,0.03241475459276455,0.00015047342038709832
CO2_Qst_CC_mean,LCD_A,0.05482265977381416,0.011165805911798277,0.35541605348235394
CO2_Qst_CC_mean,LFPD_A,0.05547176969923623,0.0034377646396626105,0.3509821902768874
CO2_Qst_CC_mean,ASA_m2_cm3,0.034438628144905434,0.03675162405483445,0.09933489389967942
CO2_Qst_CC_mean,ASA_m2_g,0.08964801806457609,0.007993390976445025,0.45777431270434754
CO2_Qst_CC_mean,O_mass_frac,0.014149752688341878,0.021337015018215055,0.0003079392661740066
CO2_Qst_CC_mean,O_coord_ratio,0.005091997015002615,0.009011910791501654,0.026391254490126692
CO2_Qst_CC_mean,ligand_n_heavy,0.008490585517535482,0.015432117526950728,0.0003770795031686758
CO2_Qst_CC_mean,topo_pcu,0.015373690824430209,0.011524420450010897,0.040264325607917595
CO2_Qst_CC_1bar,void_fraction,0.21931603007139075,0.09438108656010158,0.5608857722311773
CO2_Qst_CC_1bar,ligand_n_heavy,0.006837235699016702,0.0011986030167907558,0.002065898382619724
CO2_Qst_CC_1bar,NASA_m2_g,0.011030474083496455,0.011257349156445606,0.0073840940219795925
CO2_Qst_CC_1bar,NASA_m2_cm3,0.008890654955122456,0.005861181103626212,0.00819864228294509
CO2_Qst_CC_1bar,LCD_A,0.11436578899249314,0.009998492958400496,0.42826696870758185
CO2_Qst_CC_1bar,LFPD_A,0.11703109857665941,0.005553057362973179,0.4258340479232543
CO2_Qst_CC_1bar,ligand_n_aromatic_rings,0.01169026146062792,0.011643732346873215,0.001998881440168465
CO2_Qst_CC_1bar,ligand_TPSA,0.003943421096809575,0.0006899596919445194,0.0009815980408948155
CO2_Qst_CC_1bar,ASA_m2_cm3,0.04784040078046666,0.02856914447072234,0.09215921568738272
CO2_Qst_CC_1bar,O_mass_frac,0.008463554949029195,0.010719909237252745,2.6007799873717374e-06
CO2_Qst_CC_1bar,topo_pcu,0.021144350723692525,0.016875479824445483,0.03567682575199771
CO2_Qst_CC_1bar,O_coord_ratio,0.00565457783129128,0.004561822595757992,0.02852020042235537
log10_CO2N2_actual_selectivity,ligand_n_heavy,0.005899536502423397,0.003565327305451671,0.0015273755764594332
log10_CO2N2_actual_selectivity,void_fraction,0.1672109164451705,0.09210035506184644,0.5299316944853096
log10_CO2N2_actual_selectivity,ligand_MW,0.005981827068754262,0.0026155865841098747,0.0011526935891436052
log10_CO2N2_actual_selectivity,NASA_m2_g,0.014970328413791825,0.016631501042826957,0.009886088325700815
log10_CO2N2_actual_selectivity,LCD_A,0.07310611492620844,0.006650739753284007,0.425347167951715
log10_CO2N2_actual_selectivity,ligand_n_aromatic_rings,0.014805160028777981,0.018315105731189663,0.0008065913484144316
log10_CO2N2_actual_selectivity,NASA_m2_cm3,0.011742294411173155,0.009002062768803887,0.01084151334205008
log10_CO2N2_actual_selectivity,ASA_m2_cm3,0.04249873448476952,0.03096742161330579,0.07329009659153785
log10_CO2N2_actual_selectivity,PLD_A,0.049918826260874516,0.0023106161673671632,0.3329317652410375
log10_CO2N2_actual_selectivity,ligand_TPSA,0.00549654824194761,0.000808006106976622,0.00036727404227898663
log10_CO2N2_actual_selectivity,LFPD_A,0.07335126845182544,0.0013869727403588161,0.42204763073065
log10_CO2N2_actual_selectivity,topo_pcu,0.02159914831239418,0.01478658258793386,0.033355965925720654
log10_CO2N2_Henry_selectivity,void_fraction,0.21216674982711348,0.06924252813858489,0.37245070265702285
log10_CO2N2_Henry_selectivity,ligand_n_heavy,0.007409331423347554,0.005204322191795563,2.221349219899693e-06
log10_CO2N2_Henry_selectivity,NASA_m2_g,0.007515908483362105,0.008116214774848807,0.010477318732442176
log10_CO2N2_Henry_selectivity,ligand_n_aromatic_rings,0.027840038693795643,0.04621811039900403,0.00034713311099310307
log10_CO2N2_Henry_selectivity,NASA_m2_cm3,0.007208206457187729,0.0043571593613960236,0.012209028947898548
log10_CO2N2_Henry_selectivity,ligand_MW,0.006450294269260328,0.0025048410290133827,3.668413889035271e-05
log10_CO2N2_Henry_selectivity,ASA_m2_cm3,0.026604221347346038,0.01725639978516469,0.07140727573126793
log10_CO2N2_Henry_selectivity,O_coord_ratio,0.002729592981375428,6.569577334369914e-05,0.015929934038515503
log10_CO2N2_Henry_selectivity,ASA_m2_g,0.14802494955459833,0.001461952073697259,0.3155089143082994
log10_CO2N2_Henry_selectivity,LCD_PLD_ratio,0.01592007309392999,0.013589023862999206,0.023184639813149666
log10_CO2N2_Henry_selectivity,catenation,0.021176128625692986,0.021363497661348818,0.018771135851469056
log10_CO2N2_Henry_selectivity,topo_dia,0.03932573684730095,0.03393312518508096,0.052818850870342104
log10_PE_VSA_parasitic_energy,ligand_n_heavy,0.004790106351097842,0.0031645272341197517,0.0036564308627711206
log10_PE_VSA_parasitic_energy,void_fraction,0.08826716213897484,0.05161673805649536,0.5152111182358965
log10_PE_VSA_parasitic_energy,LCD_A,0.05712946720875442,0.009781289975034468,0.5144527510948876
log10_PE_VSA_parasitic_energy,ASA_m2_cm3,0.04578607281082936,0.06175827228935482,0.02449517682536917
log10_PE_VSA_parasitic_energy,LFPD_A,0.06266109419477803,0.00480175610932132,0.5209122067209447
log10_PE_VSA_parasitic_energy,NASA_m2_g,0.012413993953020546,0.01307562175112631,0.008294755768642026
log10_PE_VSA_parasitic_energy,ligand_MW,0.004592354818879377,0.0015524804619579946,0.003063480820070019
log10_PE_VSA_parasitic_energy,ligand_n_aromatic_rings,0.014476705155794717,0.030003221324776952,0.003828731422725773
log10_PE_VSA_parasitic_energy,NASA_m2_cm3,0.009548182447374088,0.007180880987825322,0.008692471256077527
log10_PE_VSA_parasitic_energy,ASA_m2_g,0.0763268051656755,0.007059143590846917,0.4679135357121028
log10_PE_VSA_parasitic_energy,PLD_A,0.03465681408480262,4.8957636725743825e-05,0.37767958383513145
log10_PE_VSA_parasitic_energy,topo_pcu,0.01845823430351718,0.013137434129094738,0.03159602208106205
N2_Qst_Widom,ligand_MW,0.0021786106733725913,0.0005647850775974961,0.0071444154575203145
N2_Qst_Widom,ligand_n_heavy,0.0022552869271775778,8.399713075857296e-05,0.007176263873766353
N2_Qst_Widom,void_fraction,0.2694483510671366,0.10614617546905769,0.45752867578256795
N2_Qst_Widom,NASA_m2_g,0.008407614008970981,0.00401054034941406,0.007323228703955298
N2_Qst_Widom,NASA_m2_cm3,0.008919944699478776,0.0018964642089162043,0.009843460953583016
N2_Qst_Widom,LFPD_A,0.15866721013982138,0.024543273873601223,0.32332303981207133
N2_Qst_Widom,O_coord_ratio,0.004885424191540636,0.017573341492509997,0.008000698819319862
N2_Qst_Widom,topo_pcu,0.04314767215436395,0.033938460423838746,0.05598189725931346
N2_Qst_Widom,ligand_n_carboxylate,0.0036857033603116107,0.0036131877852333405,0.012851773749824047
N2_Qst_Widom,O_mass_frac,0.005094723981832102,0.00990360629641407,0.00334658068469762
N2_Qst_Widom,LCD_PLD_ratio,0.016710213559821538,0.011117281609785867,0.04518095889460727
N2_Qst_Widom,ligand_n_aromatic_rings,0.0054142928995024155,0.011684002171632124,0.008006175413465044
N2_Qst_GCMC_flue_mean,void_fraction,0.2639886638888349,0.08858372424372296,0.6172739115371613
N2_Qst_GCMC_flue_mean,NASA_m2_g,0.008059394413577227,0.006736266511840783,0.004146057263449188
N2_Qst_GCMC_flue_mean,NASA_m2_cm3,0.007322258731450917,0.0028310195789003068,0.0060844165696660735
N2_Qst_GCMC_flue_mean,ligand_MW,0.006423577474944301,2.2307678402166964e-05,0.007213147545136467
N2_Qst_GCMC_flue_mean,ligand_n_aromatic_rings,0.00920724453012075,0.0072070280162125355,0.006583525269447832
N2_Qst_GCMC_flue_mean,O_coord_ratio,0.004723801484227306,0.009452356491985392,0.013246469300783992
N2_Qst_GCMC_flue_mean,LCD_A,0.14306515342155562,0.0049233731330818875,0.4496419635960285
