Target,Feature,beta_std,semipartial,p_value
log10_CO2_TSA_regen_heat,LCD_A,-0.7218684354023385,-0.0649416970362342,0.15242444798194466
log10_CO2_TSA_regen_heat,PLD_A,0.45671745418624365,0.06133673298642419,0.17663080001243908
log10_CO2_TSA_regen_heat,LFPD_A,0.1057882602304891,0.012463000700930258,0.7841307801912327
log10_CO2_TSA_regen_heat,LCD_PLD_ratio,0.0592819947241585,0.015220185518045978,0.7379575761011641
log10_CO2_TSA_regen_heat,pore_vol_cm3_g,0.17380010690105324,0.10098655959271889,0.02550910396082644
log10_CO2_TSA_regen_heat,ASA_m2_cm3,-0.4913540142407541,-0.13735059841883146,0.0022534218965173237
log10_CO2_TSA_regen_heat,ASA_m2_g,-0.19456323134405404,-0.039739235662288354,0.3819849397541156
log10_CO2_TSA_regen_heat,NASA_m2_cm3,0.5004094418884677,0.052545401502449296,0.24734654683748644
log10_CO2_TSA_regen_heat,NASA_m2_g,-0.7709671350450569,-0.0737788362007571,0.1037395643340167
log10_CO2_TSA_regen_heat,void_fraction,1.4420350874924033,0.24250202382219407,3.0410903693553766e-08
log10_CO2_TSA_regen_heat,accessible_pore_vol,-0.016679007661095407,-0.013278469576006709,0.7703876135684433
log10_CO2_TSA_regen_heat,has_oms,0.03013541676511331,0.024037844972955337,0.5971555950908278
log10_CO2_TSA_regen_heat,density_g_cm3,0.17380010690105246,0.10098655959271825,0.02550910396082743
log10_CO2_TSA_regen_heat,uc_volume_A3,0.010547149988192228,0.004464558722464407,0.9218338531769052
log10_CO2_TSA_regen_heat,C_mass_frac,-0.15342353203517417,-0.09887951755524495,0.028784638392295742
log10_CO2_TSA_regen_heat,N_mass_frac,-0.1439753154391724,-0.05780014637133719,0.20303177435781944
log10_CO2_TSA_regen_heat,O_mass_frac,0.10461026897057388,0.044459681238541944,0.327909984572049
log10_CO2_TSA_regen_heat,catenation,-0.11246750892101308,-0.0932675925505449,0.03930878906064047
log10_CO2_TSA_regen_heat,O_coord_ratio,-0.18774813301709017,-0.05906805826084913,0.19325691727190517
log10_CO2_TSA_regen_heat,shortest_MM_dist,0.13189531095997348,0.09128201049930396,0.043737078144887344
log10_CO2_TSA_regen_heat,ligand_MW,-0.23592937305339184,-0.012422851992590802,0.7848091772838266
log10_CO2_TSA_regen_heat,ligand_LogP,-0.2118897394247733,-0.054690675179814706,0.22850485941063275
log10_CO2_TSA_regen_heat,ligand_n_heavy,1.2244765705490646,0.0566926731448488,0.21185792898282943
log10_CO2_TSA_regen_heat,ligand_n_aromatic_rings,-0.6417721989166045,-0.1499574071431338,0.0008295036985267783
log10_CO2_TSA_regen_heat,ligand_n_carboxylate,0.028751311730125226,0.00983819063746022,0.8288021115566544
log10_CO2_TSA_regen_heat,ligand_n_N_hetero,0.0558304367998133,0.029017772408184917,0.5234166353180444
log10_CO2_TSA_regen_heat,ligand_n_halogen,-0.08392765592063417,-0.0582963613001178,0.1991645339145727
log10_CO2_TSA_regen_heat,ligand_n_amino,0.04224089727682717,0.011605595593477683,0.7986530344572309
log10_CO2_TSA_regen_heat,ligand_TPSA,-0.4452319241825628,-0.07257206186082935,0.10955407823918054
log10_CO2_TSA_regen_heat,metal_Cu,0.0867291336370262,0.043024914230315986,0.343798276881231
log10_CO2_TSA_regen_heat,metal_Mn,0.08454209315085422,0.06277489530188471,0.16665371376732824
log10_CO2_TSA_regen_heat,metal_Ni,0.04755800536265978,0.037149303324582515,0.4138329048288072
log10_CO2_TSA_regen_heat,metal_Other,-0.09712407614557622,-0.042921442408274765,0.34496265477410515
log10_CO2_TSA_regen_heat,metal_Zn,-0.10049334144620518,-0.055439730991064105,0.2221713090166384
log10_CO2_TSA_regen_heat,metal_Zr,-0.14372214624587012,-0.07962461957936477,0.0789380909744391
log10_CO2_TSA_regen_heat,topo_dia,-0.01222477931149503,-0.01064637771588697,0.8149818278199987
log10_CO2_TSA_regen_heat,topo_error,0.12946130512609905,0.10679408519583157,0.018086290394705502
log10_CO2_TSA_regen_heat,topo_lim,-0.060435009754124656,-0.052811401156807214,0.24495338245238948
log10_CO2_TSA_regen_heat,topo_lvt,-0.11323584298956788,-0.09674480743673035,0.03246315454201568
log10_CO2_TSA_regen_heat,topo_ntt,0.0523549804527258,0.027713035455372785,0.5422796906619469
log10_CO2_TSA_regen_heat,topo_pcu,0.24430189635891578,0.17684475767132682,7.348525552030898e-05
log10_CO2_TSA_regen_heat,topo_pto,-0.008132179245895823,-0.005366609251580485,0.9061070658634712
log10_CO2_TSA_regen_heat,topo_pts,-0.09682198883051424,-0.07287137754042929,0.10808859884695489
log10_CO2_TSA_regen_heat,topo_tbo,-0.0519477580086275,-0.03882512862208092,0.3930512101930702
log10_CO2_TSA_regen_heat,topo_tsy,-0.031808461716800455,-0.026465022543824854,0.5606319683073752
CO2_Qst_CC_mean,LCD_A,0.33494921258455024,0.03023557650472565,0.40031666559938783
CO2_Qst_CC_mean,PLD_A,-0.020356993582304528,-0.0027465502766731006,0.9391549905830797
CO2_Qst_CC_mean,LFPD_A,-0.3191207009874977,-0.0374994738658046,0.2966610233271521
CO2_Qst_CC_mean,LCD_PLD_ratio,0.15375755082180495,0.03936738437033148,0.27318368495507206
CO2_Qst_CC_mean,pore_vol_cm3_g,-0.05400910379551681,-0.03171825712135582,0.3775718279097703
CO2_Qst_CC_mean,ASA_m2_cm3,0.28046679897005033,0.07928127227684922,0.02661199796787986
CO2_Qst_CC_mean,ASA_m2_g,-0.21959517393162814,-0.04476242601552268,0.21258591203217095
CO2_Qst_CC_mean,NASA_m2_cm3,-0.46589451562900114,-0.04885752958193351,0.1735016832796043
CO2_Qst_CC_mean,NASA_m2_g,0.6541298342825772,0.06253506186456669,0.08103798976775695
CO2_Qst_CC_mean,void_fraction,-0.926671272633636,-0.15978726747647776,5.147619520344943e-06
CO2_Qst_CC_mean,accessible_pore_vol,0.02237446601643562,0.017805523956084913,0.6205995729461502
CO2_Qst_CC_mean,has_oms,-0.010275557262794208,-0.00820112959452737,0.8196938844296805
CO2_Qst_CC_mean,density_g_cm3,-0.05400910379551595,-0.03171825712135526,0.3775718279097787
