Target,model,R2,adj_R2,n_features
log10_CO2_TSA_regen_heat,OLS_full,0.5911241183835874,0.5007194008402599,45
log10_CO2_TSA_regen_heat,LassoCV,0.393612796554622,,13
CO2_Qst_CC_mean,OLS_full,0.7442930140263135,0.68775478597183,45
CO2_Qst_CC_mean,LassoCV,0.6788200137768743,,22
CO2_Qst_CC_1bar,OLS_full,0.7708808706863569,0.7202213647074609,45
CO2_Qst_CC_1bar,LassoCV,0.6851743574943829,,18
log10_CO2N2_actual_selectivity,OLS_full,0.7621434203162656,0.7095520157630781,45
log10_CO2N2_actual_selectivity,LassoCV,0.7325046843465532,,28
log10_CO2N2_Henry_selectivity,OLS_full,0.6340812452440832,0.5531745859010664,45
log10_CO2N2_Henry_selectivity,LassoCV,0.3196567778589966,,1
log10_PE_VSA_parasitic_energy,OLS_full,0.8059054826712855,0.76299011200564,45
log10_PE_VSA_parasitic_energy,LassoCV,0.79982848118172,,41
N2_Qst_Widom,OLS_full,0.6475839695594403,0.5696628372007235,45
N2_Qst_Widom,LassoCV,0.45459400030270924,,4
N2_Qst_GCMC_flue_mean,OLS_full,0.7829354183836723,0.7349412395338311,45
N2_Qst_GCMC_flue_mean,LassoCV,0.720388886628367,,21
N2_ads_0.75bar,OLS_full,0.4960591772264312,0.3846350757086572,45
N2_ads_0.75bar,LassoCV,0.2192669502293384,,5
Qst_diff_CO2_N2,OLS_full,0.48789549101648455,0.37466635335178766,45
Qst_diff_CO2_N2,LassoCV,0.0,,0
