Target,feat_i,feat_j,shap_interaction_magnitude
log10_CO2_TSA_regen_heat,PLD_A,shortest_MM_dist,0.00489444
log10_CO2_TSA_regen_heat,void_fraction,C_mass_frac,0.0048829303
log10_CO2_TSA_regen_heat,PLD_A,ligand_LogP,0.004875128
log10_CO2_TSA_regen_heat,ASA_m2_cm3,ligand_LogP,0.0036964116
log10_CO2_TSA_regen_heat,LCD_PLD_ratio,C_mass_frac,0.0036746687
log10_CO2_TSA_regen_heat,PLD_A,ligand_MW,0.003655138
log10_CO2_TSA_regen_heat,PLD_A,void_fraction,0.0034378825
log10_CO2_TSA_regen_heat,O_mass_frac,topo_error,0.0033136648
log10_CO2_TSA_regen_heat,PLD_A,NASA_m2_cm3,0.0032175162
log10_CO2_TSA_regen_heat,PLD_A,ligand_n_aromatic_rings,0.0029891813
CO2_Qst_CC_mean,void_fraction,uc_volume_A3,0.06999229
CO2_Qst_CC_mean,LCD_A,void_fraction,0.06052799
CO2_Qst_CC_mean,ASA_m2_cm3,void_fraction,0.053585358
CO2_Qst_CC_mean,PLD_A,void_fraction,0.05000947
CO2_Qst_CC_mean,PLD_A,ASA_m2_cm3,0.049609855
CO2_Qst_CC_mean,ASA_m2_g,void_fraction,0.04637036
CO2_Qst_CC_mean,PLD_A,uc_volume_A3,0.0385594
CO2_Qst_CC_mean,LFPD_A,void_fraction,0.034793485
CO2_Qst_CC_mean,NASA_m2_g,void_fraction,0.0347216
CO2_Qst_CC_mean,pore_vol_cm3_g,uc_volume_A3,0.0330672
CO2_Qst_CC_1bar,void_fraction,uc_volume_A3,0.09507556
CO2_Qst_CC_1bar,pore_vol_cm3_g,void_fraction,0.056186527
CO2_Qst_CC_1bar,pore_vol_cm3_g,uc_volume_A3,0.052099667
CO2_Qst_CC_1bar,PLD_A,ASA_m2_cm3,0.046873543
CO2_Qst_CC_1bar,LCD_A,void_fraction,0.039397452
CO2_Qst_CC_1bar,PLD_A,void_fraction,0.03431219
CO2_Qst_CC_1bar,LCD_A,uc_volume_A3,0.03418699
CO2_Qst_CC_1bar,ASA_m2_cm3,void_fraction,0.029887479
CO2_Qst_CC_1bar,ASA_m2_g,void_fraction,0.029228922
CO2_Qst_CC_1bar,LCD_PLD_ratio,void_fraction,0.027281
log10_CO2N2_actual_selectivity,void_fraction,uc_volume_A3,0.0035049422
log10_CO2N2_actual_selectivity,LCD_A,void_fraction,0.0029064855
log10_CO2N2_actual_selectivity,LCD_A,PLD_A,0.002701634
log10_CO2N2_actual_selectivity,ASA_m2_cm3,void_fraction,0.0026380254
log10_CO2N2_actual_selectivity,LCD_A,uc_volume_A3,0.0025524315
log10_CO2N2_actual_selectivity,void_fraction,shortest_MM_dist,0.002495923
log10_CO2N2_actual_selectivity,PLD_A,void_fraction,0.0024039687
log10_CO2N2_actual_selectivity,pore_vol_cm3_g,void_fraction,0.0021627708
log10_CO2N2_actual_selectivity,LCD_A,LFPD_A,0.0019587588
log10_CO2N2_actual_selectivity,PLD_A,ligand_LogP,0.0019188598
log10_CO2N2_Henry_selectivity,ASA_m2_g,void_fraction,0.009561023
log10_CO2N2_Henry_selectivity,ASA_m2_cm3,void_fraction,0.008373056
log10_CO2N2_Henry_selectivity,LCD_A,void_fraction,0.0043382435
log10_CO2N2_Henry_selectivity,PLD_A,void_fraction,0.003681904
log10_CO2N2_Henry_selectivity,ASA_m2_cm3,ASA_m2_g,0.0034849334
log10_CO2N2_Henry_selectivity,pore_vol_cm3_g,void_fraction,0.0033264332
log10_CO2N2_Henry_selectivity,void_fraction,shortest_MM_dist,0.0032039878
log10_CO2N2_Henry_selectivity,void_fraction,uc_volume_A3,0.0031249444
log10_CO2N2_Henry_selectivity,uc_volume_A3,shortest_MM_dist,0.002634474
log10_CO2N2_Henry_selectivity,pore_vol_cm3_g,uc_volume_A3,0.0024487118
log10_PE_VSA_parasitic_energy,void_fraction,uc_volume_A3,0.0010168288
log10_PE_VSA_parasitic_energy,PLD_A,ligand_LogP,0.00071540306
log10_PE_VSA_parasitic_energy,PLD_A,ASA_m2_cm3,0.0006519816
log10_PE_VSA_parasitic_energy,void_fraction,ligand_n_aromatic_rings,0.0005519825
log10_PE_VSA_parasitic_energy,ASA_m2_g,ligand_n_aromatic_rings,0.00051003875
log10_PE_VSA_parasitic_energy,LFPD_A,ligand_LogP,0.00046513806
log10_PE_VSA_parasitic_energy,LCD_A,ligand_n_aromatic_rings,0.00042305593
log10_PE_VSA_parasitic_energy,ASA_m2_cm3,ligand_LogP,0.00041562133
log10_PE_VSA_parasitic_energy,LCD_A,uc_volume_A3,0.00040420413
log10_PE_VSA_parasitic_energy,shortest_MM_dist,ligand_n_aromatic_rings,0.00039017695
N2_Qst_Widom,LFPD_A,void_fraction,0.07165279
N2_Qst_Widom,LCD_A,void_fraction,0.05965138
N2_Qst_Widom,pore_vol_cm3_g,void_fraction,0.0415276
N2_Qst_Widom,ASA_m2_cm3,void_fraction,0.04019571
N2_Qst_Widom,pore_vol_cm3_g,shortest_MM_dist,0.036713187
N2_Qst_Widom,LCD_A,LFPD_A,0.030179266
N2_Qst_Widom,uc_volume_A3,shortest_MM_dist,0.027146032
N2_Qst_Widom,PLD_A,void_fraction,0.026360184
N2_Qst_Widom,PLD_A,ASA_m2_cm3,0.02473164
N2_Qst_Widom,void_fraction,uc_volume_A3,0.024285102
N2_Qst_GCMC_flue_mean,LCD_A,void_fraction,0.06553602
N2_Qst_GCMC_flue_mean,PLD_A,void_fraction,0.04226572
N2_Qst_GCMC_flue_mean,void_fraction,uc_volume_A3,0.037252977
N2_Qst_GCMC_flue_mean,LFPD_A,void_fraction,0.036623925
N2_Qst_GCMC_flue_mean,pore_vol_cm3_g,void_fraction,0.035549454
N2_Qst_GCMC_flue_mean,LCD_A,uc_volume_A3,0.032019887
N2_Qst_GCMC_flue_mean,PLD_A,ASA_m2_cm3,0.02725536
N2_Qst_GCMC_flue_mean,PLD_A,uc_volume_A3,0.026061183
N2_Qst_GCMC_flue_mean,LCD_PLD_ratio,void_fraction,0.025689859
N2_Qst_GCMC_flue_mean,pore_vol_cm3_g,uc_volume_A3,0.025541557
N2_ads_0.75bar,LCD_A,ligand_n_aromatic_rings,0.004934873
N2_ads_0.75bar,LCD_A,pore_vol_cm3_g,0.00307925
N2_ads_0.75bar,LCD_A,C_mass_frac,0.0027739294
N2_ads_0.75bar,PLD_A,ligand_n_heavy,0.0023021034
N2_ads_0.75bar,LCD_A,ligand_MW,0.0022477363
N2_ads_0.75bar,void_fraction,ligand_n_aromatic_rings,0.0019294727
N2_ads_0.75bar,LCD_A,void_fraction,0.0018199193
N2_ads_0.75bar,PLD_A,ligand_n_aromatic_rings,0.0014780302
N2_ads_0.75bar,LCD_A,ligand_n_heavy,0.0014483933
N2_ads_0.75bar,LFPD_A,pore_vol_cm3_g,0.0013970135
Qst_diff_CO2_N2,ASA_m2_g,uc_volume_A3,0.057168856
Qst_diff_CO2_N2,LFPD_A,void_fraction,0.055572
Qst_diff_CO2_N2,ligand_MW,ligand_TPSA,0.033444982
Qst_diff_CO2_N2,ASA_m2_g,void_fraction,0.03302177
Qst_diff_CO2_N2,void_fraction,shortest_MM_dist,0.02913026
Qst_diff_CO2_N2,N_mass_frac,ligand_n_N_hetero,0.027517691
Qst_diff_CO2_N2,ASA_m2_cm3,ASA_m2_g,0.02339312
Qst_diff_CO2_N2,ASA_m2_g,ligand_MW,0.023357477
Qst_diff_CO2_N2,PLD_A,catenation,0.023187857
Qst_diff_CO2_N2,PLD_A,LFPD_A,0.021591077
