Target,Feature,spearman_r,beta_std,note
log10_CO2_TSA_regen_heat,LCD_A,0.5196140002259424,-0.7218684354023385,方向反转(单变量r vs 净效应β)
log10_CO2_TSA_regen_heat,pore_vol_cm3_g,-0.32540969675016834,0.17380010690105324,方向反转(单变量r vs 净效应β)
log10_CO2_TSA_regen_heat,ASA_m2_g,0.28204120500296026,-0.19456323134405404,方向反转(单变量r vs 净效应β)
log10_CO2_TSA_regen_heat,NASA_m2_cm3,-0.1395485895401097,0.5004094418884677,方向反转(单变量r vs 净效应β)
log10_CO2_TSA_regen_heat,density_g_cm3,-0.32540969675016834,0.17380010690105246,方向反转(单变量r vs 净效应β)
log10_CO2_TSA_regen_heat,N_mass_frac,0.148504637835573,-0.1439753154391724,方向反转(单变量r vs 净效应β)
log10_CO2_TSA_regen_heat,ligand_n_heavy,-0.11272817017701867,1.2244765705490646,方向反转(单变量r vs 净效应β)
CO2_Qst_CC_mean,LCD_A,-0.5476622296826399,0.33494921258455024,方向反转(单变量r vs 净效应β)
CO2_Qst_CC_mean,LCD_PLD_ratio,-0.13159161022169247,0.15375755082180495,方向反转(单变量r vs 净效应β)
CO2_Qst_CC_mean,ASA_m2_cm3,-0.373538932273897,0.28046679897005033,方向反转(单变量r vs 净效应β)
CO2_Qst_CC_mean,NASA_m2_cm3,0.20270126295482488,-0.46589451562900114,方向反转(单变量r vs 净效应β)
CO2_Qst_CC_mean,O_coord_ratio,-0.13733676972130116,0.21473344207785922,方向反转(单变量r vs 净效应β)
CO2_Qst_CC_1bar,LCD_A,-0.6091702497635363,0.4752731120313071,方向反转(单变量r vs 净效应β)
CO2_Qst_CC_1bar,ASA_m2_cm3,-0.38745193280712403,0.2763326840824349,方向反转(单变量r vs 净效应β)
CO2_Qst_CC_1bar,NASA_m2_cm3,0.17090590071508874,-0.4963495558336767,方向反转(单变量r vs 净效应β)
CO2_Qst_CC_1bar,O_coord_ratio,-0.13288257337894258,0.18196521977281355,方向反转(单变量r vs 净效应β)
log10_CO2N2_actual_selectivity,LCD_A,-0.6444249305407193,0.47116128569063864,方向反转(单变量r vs 净效应β)
