Target,Feature,spearman_r,spearman_p
log10_CO2_TSA_regen_heat,LCD_A,0.5196140002259424,2.8273199456067928e-18
log10_CO2_TSA_regen_heat,PLD_A,0.5522852418301878,6.953127604276899e-21
log10_CO2_TSA_regen_heat,LFPD_A,0.5200663833506327,2.613001686707959e-18
log10_CO2_TSA_regen_heat,LCD_PLD_ratio,0.044986358414260325,0.48426764300008796
log10_CO2_TSA_regen_heat,pore_vol_cm3_g,-0.32540969675016834,2.0019584863913e-07
log10_CO2_TSA_regen_heat,ASA_m2_cm3,0.08463214598221352,0.1876466602085039
log10_CO2_TSA_regen_heat,ASA_m2_g,0.28204120500296026,7.670987442461473e-06
log10_CO2_TSA_regen_heat,NASA_m2_cm3,-0.1395485895401097,0.02930942527102961
log10_CO2_TSA_regen_heat,NASA_m2_g,-0.1394858026422367,0.0293830184688306
log10_CO2_TSA_regen_heat,void_fraction,0.4236529685281958,4.780304428287308e-12
log10_CO2_TSA_regen_heat,accessible_pore_vol,0.08263063266270883,0.19833679445789074
log10_CO2_TSA_regen_heat,has_oms,0.1632976447476009,0.01062290969998876
log10_CO2_TSA_regen_heat,density_g_cm3,-0.32540969675016834,2.0019584863913e-07
log10_CO2_TSA_regen_heat,uc_volume_A3,0.24604960825479769,0.0001029410724436543
log10_CO2_TSA_regen_heat,C_mass_frac,-0.1323305716942479,0.03887123010434861
log10_CO2_TSA_regen_heat,N_mass_frac,0.148504637835573,0.020303726577658613
log10_CO2_TSA_regen_heat,O_mass_frac,-0.04161594513583315,0.5176292894758472
log10_CO2_TSA_regen_heat,catenation,0.050488409092036446,0.43239187202796725
log10_CO2_TSA_regen_heat,O_coord_ratio,0.026869206846246316,0.6762172180441497
log10_CO2_TSA_regen_heat,shortest_MM_dist,-0.03310581142222518,0.6068221469448217
log10_CO2_TSA_regen_heat,ligand_MW,-0.11829686669549047,0.06505931721324774
log10_CO2_TSA_regen_heat,ligand_LogP,-0.04044197179373454,0.5295211590389213
log10_CO2_TSA_regen_heat,ligand_n_heavy,-0.11272817017701867,0.0788438474590236
log10_CO2_TSA_regen_heat,ligand_n_aromatic_rings,-0.18920847545434552,0.003005231253290698
log10_CO2_TSA_regen_heat,ligand_n_carboxylate,-0.010004943251658703,0.8764400968724368
log10_CO2_TSA_regen_heat,ligand_n_N_hetero,-0.05350011243733942,0.4054071643964766
log10_CO2_TSA_regen_heat,ligand_n_halogen,0.03884040355726842,0.5459640383746849
log10_CO2_TSA_regen_heat,ligand_n_amino,0.23821060280057912,0.00017260007685973228
log10_CO2_TSA_regen_heat,ligand_TPSA,-0.05339728436003154,0.4063116809983577
log10_CO2_TSA_regen_heat,metal_Cu,0.21479625839055755,0.0007314688132254297
log10_CO2_TSA_regen_heat,metal_Mn,-0.005093699167742975,0.9369069029877597
log10_CO2_TSA_regen_heat,metal_Ni,0.031025258567161755,0.6296230032812832
log10_CO2_TSA_regen_heat,metal_Other,-0.20580111376423296,0.001225470921759967
log10_CO2_TSA_regen_heat,metal_Zn,0.046934424907597985,0.4655266753524274
log10_CO2_TSA_regen_heat,metal_Zr,0.05327914698270633,0.4073523407730367
log10_CO2_TSA_regen_heat,topo_dia,-0.07835469557172055,0.22264299247004518
log10_CO2_TSA_regen_heat,topo_error,0.13697562299476274,0.03245743549372252
log10_CO2_TSA_regen_heat,topo_lim,-0.06345254778734347,0.3236103586197412
log10_CO2_TSA_regen_heat,topo_lvt,-0.09026827501537396,0.15982327174794794
log10_CO2_TSA_regen_heat,topo_ntt,0.19641527578400492,0.0020531735179052423
log10_CO2_TSA_regen_heat,topo_pcu,0.15378992743350284,0.016205249559633237
log10_CO2_TSA_regen_heat,topo_pto,0.18748277064674623,0.0032858639486204825
log10_CO2_TSA_regen_heat,topo_pts,-0.13265848702279248,0.038385759925127744
log10_CO2_TSA_regen_heat,topo_tbo,0.0248471141820989,0.6993552768756011
log10_CO2_TSA_regen_heat,topo_tsy,-0.12742896208673354,0.046767915400132754
CO2_Qst_CC_mean,LCD_A,-0.5476622296826399,1.6936906896895623e-20
CO2_Qst_CC_mean,PLD_A,-0.5635079916517386,7.554104977140678e-22
CO2_Qst_CC_mean,LFPD_A,-0.5415791285614002,5.3528884661963594e-20
CO2_Qst_CC_mean,LCD_PLD_ratio,-0.13159161022169247,0.03998427232439196
CO2_Qst_CC_mean,pore_vol_cm3_g,0.5405621189473463,6.4737483089403e-20
CO2_Qst_CC_mean,ASA_m2_cm3,-0.373538932273897,1.6975736529388936e-09
CO2_Qst_CC_mean,ASA_m2_g,-0.565671893928772,4.876141897386963e-22
CO2_Qst_CC_mean,NASA_m2_cm3,0.20270126295482488,0.0014568463829089926
CO2_Qst_CC_mean,NASA_m2_g,0.20236378330906157,0.0014843144914976339
CO2_Qst_CC_mean,void_fraction,-0.6436484506430579,6.146835747070614e-30
CO2_Qst_CC_mean,accessible_pore_vol,-0.09886162298157002,0.1235327645528767
CO2_Qst_CC_mean,has_oms,-0.22524766091495652,0.0003909890673028554
CO2_Qst_CC_mean,density_g_cm3,0.5405621189473463,6.4737483089403e-20
CO2_Qst_CC_mean,uc_volume_A3,-0.3149209539428303,5.104688251978772e-07
CO2_Qst_CC_mean,C_mass_frac,-0.07461897130963592,0.2455525121679696
CO2_Qst_CC_mean,N_mass_frac,-0.05975199929548677,0.352684977942866
CO2_Qst_CC_mean,O_mass_frac,0.020698826771915667,0.7476798410272526
CO2_Qst_CC_mean,catenation,-0.02784662677924552,0.6651393483455013
CO2_Qst_CC_mean,O_coord_ratio,-0.13733676972130116,0.031998911938011486
CO2_Qst_CC_mean,shortest_MM_dist,0.0849623206125179,0.1859245920865501
CO2_Qst_CC_mean,ligand_MW,-0.0164359607681633,0.7983857475202166
CO2_Qst_CC_mean,ligand_LogP,-0.01777992735627563,0.7822969040792174
