var_a,var_b,spearman_r
CO2_ads_0.15bar,CO2_VSA_capacity,0.9993407927834157
CO2_ads_0.15bar,CO2_TSA_capacity,0.9991202309703481
CO2_ads_0.15bar,CO2_TSA_regen_heat,-0.9987263998295196
CO2_ads_0.15bar,log10_CO2_TSA_regen_heat,-0.9987263998295196
CO2_Qst_CC_mean,CO2_Qst_CC_0.1bar,0.9921062287719866
CO2_Qst_CC_mean,CO2_Qst_CC_0.5bar,0.9990944148424538
CO2_Qst_CC_mean,CO2_Qst_GCMC_flue_mean,0.9962242189825161
CO2_Qst_CC_0.1bar,CO2_Qst_CC_0.5bar,0.9920516542121799
CO2_Qst_CC_0.1bar,CO2_Qst_GCMC_flue_mean,0.9943406554118163
CO2_Qst_CC_0.1bar,CO2_Qst_Widom,0.9919602951104852
CO2_Qst_CC_0.5bar,CO2_Qst_GCMC_flue_mean,0.9959117536878364
CO2_VSA_capacity,CO2_TSA_capacity,0.9992259684687476
CO2_VSA_capacity,CO2_TSA_regen_heat,-0.9995541263551189
CO2_VSA_capacity,log10_CO2_TSA_regen_heat,-0.9995541263551189
CO2_TSA_capacity,CO2_TSA_regen_heat,-0.9994570626158396
CO2_TSA_capacity,log10_CO2_TSA_regen_heat,-0.9994570626158396
CO2N2_actual_selectivity,log10_CO2N2_actual_selectivity,1.0
CO2N2_Henry_selectivity,log10_CO2N2_Henry_selectivity,1.0
PE_VSA_parasitic_energy,log10_PE_VSA_parasitic_energy,1.0
CO2_TSA_regen_heat,log10_CO2_TSA_regen_heat,1.0
N2_Qst_GCMC_flue_mean,N2_Qst_1bar,0.9995119961587723
N2_ads_0.75bar,N2_ads_1bar,0.9984866283037706
