,CO2_ads_0.15bar,CO2_Qst_CC_mean,CO2_Qst_CC_0.1bar,CO2_Qst_CC_0.5bar,CO2_Qst_CC_1bar,CO2_Qst_GCMC_flue_mean,CO2_Qst_Widom,CO2_VSA_capacity,CO2_TSA_capacity,CO2N2_actual_selectivity,CO2N2_Henry_selectivity,PE_VSA_parasitic_energy,CO2_TSA_regen_heat,N2_Qst_Widom,N2_Qst_GCMC_flue_mean,N2_Qst_1bar,N2_ads_0.75bar,N2_ads_1bar,Qst_diff_CO2_N2
CO2_ads_0.15bar,1.0,0.7734828521224633,0.7064911955052617,0.8081138187201066,0.7773981616354526,0.7975183612913721,0.7279604859114491,0.9989025360357232,0.9992808046994716,0.8504065692352589,0.4116205388064475,-0.5900641301452654,-0.5343398480090482,0.6194101173836384,0.7824124221357053,0.7837671412251912,0.879927843384485,0.8679778493601457,0.5719470920527695
CO2_Qst_CC_mean,0.7734828521224633,1.0,0.9879089314497019,0.9868289177591929,0.9872427346144027,0.9923435368510523,0.9620716120935573,0.7685608242303493,0.7771834756549157,0.9273670467719936,0.22079651653128962,-0.8795620968253755,-0.6320370502315347,0.8749563977404902,0.9755405524734341,0.9749076369595131,0.5546189181917195,0.537922939460436,0.6898356006605102
CO2_Qst_CC_0.1bar,0.7064911955052617,0.9879089314497019,1.0,0.9592992245129391,0.9663240364384629,0.9731335660389451,0.9675564835950237,0.6995452528069754,0.7083148403257552,0.8723491449490811,0.18316581443758512,-0.8908376274810887,-0.6354532572592502,0.8678412091069159,0.9474491353638901,0.9451478132083148,0.5126422300928166,0.4975932331415628,0.7086563723248008
CO2_Qst_CC_0.5bar,0.8081138187201066,0.9868289177591929,0.9592992245129391,1.0,0.9616744985448561,0.9928320823101366,0.9643651001197395,0.8019213127273587,0.8113253753612619,0.9422206565429385,0.23212987066039692,-0.8068089022213584,-0.6062403225238754,0.8707014601183062,0.971732700362882,0.9707001409140177,0.5922334397133081,0.5746335171106607,0.6989104686909475
CO2_Qst_CC_1bar,0.7773981616354526,0.9872427346144027,0.9663240364384629,0.9616744985448561,1.0,0.9723573527493792,0.9126759618975603,0.7761675759422294,0.7831341940570155,0.9335100140873369,0.24094138035771476,-0.9144719980893182,-0.631286740422354,0.851382987552015,0.9714258276101293,0.973211299945472,0.538306022058016,0.5217031830693342,0.6293955681772865
CO2_Qst_GCMC_flue_mean,0.7975183612913721,0.9923435368510523,0.9731335660389451,0.9928320823101366,0.9723573527493792,1.0,0.9688651372644429,0.7918257960178569,0.8005624969979431,0.9324891057224379,0.24205962999850092,-0.8397421479165786,-0.6269171531618074,0.8601953472219056,0.9651910429399438,0.9643444042793053,0.5853885918388044,0.5681334047433583,0.719249449086197
CO2_Qst_Widom,0.7279604859114491,0.9620716120935573,0.9675564835950237,0.9643651001197395,0.9126759618975603,0.9688651372644429,1.0,0.7149411945904832,0.7266200650186772,0.8485771610569222,0.20563954388712416,-0.7709098331468651,-0.5956884469212369,0.8500363410875865,0.9177920650911265,0.9127056988234206,0.5588100964924123,0.5415758218604504,0.7866687193508306
CO2_VSA_capacity,0.9989025360357232,0.7685608242303493,0.6995452528069754,0.8019213127273587,0.7761675759422294,0.7918257960178569,0.7149411945904832,1.0,0.9995379640769542,0.8537726069280679,0.40358493426610786,-0.5974014873167518,-0.5382929058800997,0.6126658742929502,0.7774010902534385,0.7795151780897939,0.8763848144684224,0.8657635958044498,0.5566386012909955
CO2_TSA_capacity,0.9992808046994716,0.7771834756549157,0.7083148403257552,0.8113253753612619,0.7831341940570155,0.8005624969979431,0.7266200650186772,0.9995379640769542,1.0,0.8586820851070268,0.410630236084837,-0.5978549674921453,-0.5309194138168113,0.619552087046896,0.7858315733765858,0.7876263551241185,0.8689174434236606,0.8573936520634915,0.569390769901417
CO2N2_actual_selectivity,0.8504065692352589,0.9273670467719936,0.8723491449490811,0.9422206565429385,0.9335100140873369,0.9324891057224379,0.8485771610569222,0.8537726069280679,0.8586820851070268,1.0,0.2430513663151464,-0.8090188624816492,-0.5964945786348717,0.7887720246050666,0.91983860905051,0.923934751188075,0.5881186019867792,0.5747893991299065,0.5884936756643874
CO2N2_Henry_selectivity,0.4116205388064475,0.22079651653128962,0.18316581443758512,0.23212987066039692,0.24094138035771476,0.24205962999850092,0.20563954388712416,0.40358493426610786,0.410630236084837,0.2430513663151464,1.0,-0.12126470367898941,-0.09947514617859846,-0.16791188543571925,0.23146874856062136,0.23193428166465108,0.3254543861120722,0.30507527986285393,0.5634714008592653
PE_VSA_parasitic_energy,-0.5900641301452654,-0.8795620968253755,-0.8908376274810887,-0.8068089022213584,-0.9144719980893182,-0.8397421479165786,-0.7709098331468651,-0.5974014873167518,-0.5978549674921453,-0.8090188624816492,-0.12126470367898941,1.0,0.6553507759583461,-0.7526635625084498,-0.8428016166540765,-0.8481502358464553,-0.3762233483528443,-0.3687139771641407,-0.4923356321472442
CO2_TSA_regen_heat,-0.5343398480090482,-0.6320370502315347,-0.6354532572592502,-0.6062403225238754,-0.631286740422354,-0.6269171531618074,-0.5956884469212369,-0.5382929058800997,-0.5309194138168113,-0.5964945786348717,-0.09947514617859846,0.6553507759583461,1.0,-0.5325160794743092,-0.5859664684166354,-0.5874423263150697,-0.6043888398782593,-0.6096374735661912,-0.43794353751953874
N2_Qst_Widom,0.6194101173836384,0.8749563977404902,0.8678412091069159,0.8707014601183062,0.851382987552015,0.8601953472219056,0.8500363410875865,0.6126658742929502,0.619552087046896,0.7887720246050666,-0.16791188543571925,-0.7526635625084498,-0.5325160794743092,1.0,0.8898617287931284,0.887410705154747,0.4552591367892721,0.44209286413208637,0.34351056218969755
N2_Qst_GCMC_flue_mean,0.7824124221357053,0.9755405524734341,0.9474491353638901,0.971732700362882,0.9714258276101293,0.9651910429399438,0.9177920650911265,0.7774010902534385,0.7858315733765858,0.91983860905051,0.23146874856062136,-0.8428016166540765,-0.5859664684166354,0.8898617287931284,1.0,0.9995701893509996,0.5582110234065868,0.5383471987414988,0.5934141618923607
N2_Qst_1bar,0.7837671412251912,0.9749076369595131,0.9451478132083148,0.9707001409140177,0.973211299945472,0.9643444042793053,0.9127056988234206,0.7795151780897939,0.7876263551241185,0.923934751188075,0.23193428166465108,-0.8481502358464553,-0.5874423263150697,0.887410705154747,0.9995701893509996,1.0,0.5557230715639392,0.5361087847547865,0.5872183720172706
N2_ads_0.75bar,0.879927843384485,0.5546189181917195,0.5126422300928166,0.5922334397133081,0.538306022058016,0.5853885918388044,0.5588100964924123,0.8763848144684224,0.8689174434236606,0.5881186019867792,0.3254543861120722,-0.3762233483528443,-0.6043888398782593,0.4552591367892721,0.5582110234065868,0.5557230715639392,1.0,0.998698566890045,0.4627492971495013
N2_ads_1bar,0.8679778493601457,0.537922939460436,0.4975932331415628,0.5746335171106607,0.5217031830693342,0.5681334047433583,0.5415758218604504,0.8657635958044498,0.8573936520634915,0.5747893991299065,0.30507527986285393,-0.3687139771641407,-0.6096374735661912,0.44209286413208637,0.5383471987414988,0.5361087847547865,0.998698566890045,1.0,0.4474525400385239
Qst_diff_CO2_N2,0.5719470920527695,0.6898356006605102,0.7086563723248008,0.6989104686909475,0.6293955681772865,0.719249449086197,0.7866687193508306,0.5566386012909955,0.569390769901417,0.5884936756643874,0.5634714008592653,-0.4923356321472442,-0.43794353751953874,0.34351056218969755,0.5934141618923607,0.5872183720172706,0.4627492971495013,0.4474525400385239,1.0
