Target,Model,R2_mean,R2_std,MAE_mean,RMSE_mean
CO2_VSA_capacity,RandomForest,0.6266103589357409,0.06766079603367615,0.1898360696008046,0.2735158124924372
CO2_VSA_capacity,ExtraTrees,0.6174901745743636,0.12780531873298093,0.17884302598437846,0.27337091803824826
CO2_VSA_capacity,XGBoost,0.614387573249412,0.08503729803348162,0.1919553366599569,0.27593503959182986
CO2_VSA_capacity,Ridge,-0.14820084602153977,0.37559939068819737,0.33042852057599764,0.4702177683522818
CO2_TSA_capacity,RandomForest,0.622988926150623,0.06955542504897008,0.18594469235541083,0.2684226867684617
CO2_TSA_capacity,ExtraTrees,0.617808046949988,0.12363271101382711,0.17581594200634496,0.26689230218070265
CO2_TSA_capacity,XGBoost,0.6099844496127832,0.08736538627864174,0.18823584246835973,0.2707928035406438
CO2_TSA_capacity,Ridge,-0.14883981458788456,0.3821727696136363,0.32153101047488747,0.45887269122096364
log10_CO2N2_actual_selectivity,RandomForest,0.6879303191330413,0.1310411409762989,0.07771376553971633,0.11225507659871789
log10_CO2N2_actual_selectivity,ExtraTrees,0.7150603923194533,0.12799703801179851,0.07028277513597864,0.10689055832327869
log10_CO2N2_actual_selectivity,XGBoost,0.6784366143017163,0.14660758442924915,0.07822342415530945,0.11356445426924067
log10_CO2N2_actual_selectivity,Ridge,0.5560879604544352,0.17060932964884015,0.1000022064996956,0.1334797613743888
log10_PE_VSA_parasitic_energy,RandomForest,0.6696385419714402,0.19065291588230945,0.01960583597178043,0.032146830533299364
log10_PE_VSA_parasitic_energy,ExtraTrees,0.6698948983916739,0.17319556573483594,0.01894594788454999,0.03220741507065209
log10_PE_VSA_parasitic_energy,XGBoost,0.6182942892286808,0.19128236067786453,0.021287402445729575,0.03487336107070363
log10_PE_VSA_parasitic_energy,Ridge,0.6176600504739629,0.1848627573133549,0.02361498774534623,0.03440175657525792
log10_CO2_TSA_regen_heat,RandomForest,0.4876498684790122,0.1655814025730104,0.14849429049938254,0.22938531094918754
log10_CO2_TSA_regen_heat,ExtraTrees,0.5251514504744,0.15358505413732626,0.13790506959221496,0.22096771465121873
log10_CO2_TSA_regen_heat,XGBoost,0.45510791175798726,0.17363704029428717,0.1501841419081806,0.23640061350254618
log10_CO2_TSA_regen_heat,Ridge,0.2528385177775478,0.18105652347697915,0.1997019404503619,0.2761108589373846
