,CO2_ads_0.15bar,CO2_Qst_CC_mean,CO2_Qst_CC_0.1bar,CO2_Qst_CC_0.5bar,CO2_Qst_CC_1bar,CO2_Qst_GCMC_flue_mean,CO2_Qst_Widom,CO2_VSA_capacity,CO2_TSA_capacity,CO2N2_actual_selectivity,CO2N2_Henry_selectivity,PE_VSA_parasitic_energy,CO2_TSA_regen_heat,N2_Qst_Widom,N2_Qst_GCMC_flue_mean,N2_Qst_1bar,N2_ads_0.75bar,N2_ads_1bar,Qst_diff_CO2_N2
CO2_ads_0.15bar,1.0,0.8967521328761365,0.8852402006925232,0.8940258994688708,0.8988354550571263,0.8883497319483727,0.8650558353301134,0.999639491508713,0.9994971163761824,0.9058801188800899,0.9029254000197185,-0.8505890488911838,-0.9992712110450238,0.8646835208426535,0.8761343008674113,0.8750484082852482,0.8979941575492795,0.8917609986732873,0.7235674108317905
CO2_Qst_CC_mean,0.8967521328761365,1.0,0.9955749586537012,0.9993458191706133,0.992751338893381,0.9960143998585997,0.9813195855863508,0.8926349828764943,0.903514107830181,0.9716565255132475,0.9895052652932983,-0.8904536119013405,-0.8954559634619247,0.9689816660051692,0.9799939391906227,0.9784049328780695,0.6546703219858415,0.6429307888465867,0.8274077383023917
CO2_Qst_CC_0.1bar,0.8852402006925232,0.9955749586537012,1.0,0.9951278972959516,0.979089928862156,0.9957744951439647,0.9920784608109013,0.8799542679314509,0.8913591090889001,0.9554343724093223,0.9906920762212293,-0.864042273634299,-0.88260288437654,0.9623917949911248,0.9690965258700937,0.9660558246822141,0.6483112486744883,0.6364579708146287,0.858058037500259
CO2_Qst_CC_0.5bar,0.8940258994688708,0.9993458191706133,0.9951278972959516,1.0,0.9906426562558752,0.9961654198449099,0.9822538853200321,0.8899431343284024,0.9010734870338334,0.969484534663145,0.9889640582545601,-0.8871919671261852,-0.8928142859807533,0.9680138184188937,0.9786526493839712,0.9769456281692993,0.6500423313430176,0.6381357066321719,0.8301389909936904
CO2_Qst_CC_1bar,0.8988354550571263,0.992751338893381,0.979089928862156,0.9906426562558752,1.0,0.9835372230106045,0.9560090818088177,0.8966415752855422,0.9070146047944632,0.9815066656876449,0.97579356279354,-0.9168803465618719,-0.9000365578778045,0.9657514712713852,0.9828200179954469,0.9833782676702825,0.6497908525217164,0.638327452294153,0.7789456379397789
CO2_Qst_GCMC_flue_mean,0.8883497319483727,0.9960143998585997,0.9957744951439647,0.9961654198449099,0.9835372230106045,1.0,0.9902040949560343,0.8840067167606064,0.8952178979790207,0.9612663400168349,0.987320434129055,-0.8736727321606587,-0.886619764910418,0.9567862420396498,0.9661159027582656,0.9636866802604632,0.6492609520414528,0.6373300491691983,0.8621360163267675
CO2_Qst_Widom,0.8650558353301134,0.9813195855863508,0.9920784608109013,0.9822538853200321,0.9560090818088177,0.9902040949560343,1.0,0.8591419564822839,0.8709737482017136,0.9301730100271768,0.9808131836930103,-0.8295739315906548,-0.8615216604130662,0.9387347998724508,0.9417371128114378,0.937354571592597,0.6341487217992131,0.6224794013123827,0.9039873105156119
CO2_VSA_capacity,0.999639491508713,0.8926349828764943,0.8799542679314509,0.8899431343284024,0.8966415752855422,0.8840067167606064,0.8591419564822839,1.0,0.9995183227580228,0.9059517320543676,0.8979306864413278,-0.8555603355241906,-0.9997321260178693,0.8602663388325342,0.8726386157184515,0.871982846294664,0.8977612574429589,0.8917607396075405,0.7164326661477456
CO2_TSA_capacity,0.9994971163761824,0.903514107830181,0.8913591090889001,0.9010734870338334,0.9070146047944632,0.8952178979790207,0.8709737482017136,0.9995183227580228,1.0,0.9146938316593738,0.9082888381745072,-0.8621081852636889,-0.9996445247860783,0.8712525029452074,0.8834960611643865,0.8827380717988134,0.8881427754261187,0.8818115416602887,0.7272962551528177
CO2N2_actual_selectivity,0.9058801188800899,0.9716565255132475,0.9554343724093223,0.969484534663145,0.9815066656876449,0.9612663400168349,0.9301730100271768,0.9059517320543676,0.9146938316593738,1.0,0.9672288121968746,-0.96525883924926,-0.9095765799827743,0.9314130837380433,0.9507890550495467,0.9524220574794353,0.6469944598419965,0.6370811980147569,0.7653816956282433
