,Henry_CO2,Qst_CO2,Selectivity,Qreg_TSA,Qreg_VSA,TOPSIS_score
lcd,0.0009462635318623995,0.0015519192255190606,0.00012272257395283605,7.912960146277457e-05,6.862430863737568e-09,0.00010447297359153546
pld,0.00012395275866546696,5.279361912556604e-05,3.2265037063704476e-07,0.0002842678359426273,1.6768047711972166e-06,1.556206054953037e-05
pld_path,0.0015635990456258672,0.0030284441385181357,0.00025460368329957204,0.00013027109837796517,2.005112000608309e-08,0.00020150550363533641
asa_m2_g,0.0004031024150618664,1.5753308070742083e-05,2.1552962835728447e-06,0.00022561198470277336,3.252694701697887e-08,8.849197660296735e-06
asa_m2_cm3,0.0011701157469828649,2.2848782575455263e-05,1.6741887019303648e-05,0.0007486978762974733,1.1833430492708915e-06,3.542609274261467e-05
void_fraction,0.0006137390383971132,8.599000263423506e-05,3.917610241820392e-06,0.00018674063955590126,4.5911230682625224e-09,1.6946221273431632e-05
pore_vol_cm3_g,0.0012069591968755253,0.00012898481571429988,1.0852905939074008e-05,0.0005641892698740623,7.237650331350316e-08,4.0989408908118415e-05
density_g_cm3,0.0013338385040142405,0.00012150334754618352,1.8441016038181795e-05,0.0006615879590542294,1.9411982940593375e-07,5.054314321572138e-05
uc_volume_A3,0.0027292691467391468,0.0009462635318623995,0.0004138516473345159,0.0003561495641190313,4.5257954357866223e-07,0.0002791194977047224
n_atoms_uc,0.010599434253422755,0.0033108244891741348,0.0022387642759652835,0.0024473498437800477,9.513331513157399e-06,0.0018068539291936211
n_elements,0.4344438791905233,0.38652593027061866,0.2694635141270699,0.513302144053527,0.4243857312262532,0.3602241312376667
n_metal_atoms,0.010923304162909094,0.05209373646036137,0.04386005305791595,0.0006135653445227715,0.00019942957870883334,0.007826623309918916
n_C,0.0037275381357034093,0.000525709958253952,0.00029236294804709895,0.0012529588407766171,6.6459707370342595e-06,0.00033788065405899694
n_H,0.07346167626007576,0.01743173511505427,0.015477485227667905,0.04861611210461442,0.0016666168287579161,0.020265619606884222
n_N,0.28953386690243804,0.24373097229308824,0.2763820772793642,0.27315574703206963,0.16819543648590204,0.2505001282210025
n_O,0.17403219433374542,0.22465126906813995,0.1612710866203244,0.03789069037761071,0.0039919692927930074,0.12081187826829533
n_Zn,0.2716898533545054,0.3726355202832252,0.3060443914616063,0.27459841898231907,0.5061475134329068,0.30855379544393297
n_Cu,0.006014769408341106,0.009940054517693555,0.010513025403366984,0.002600159899651114,0.0015767479927557828,0.011700288902630196
n_Ni,0.7603107703758931,0.49684732183815006,0.909601776130327,0.757103231137251,0.869714031403221,0.7507001384813903
n_Co,0.1312570597549523,0.07615912040054645,0.10494835351279566,0.23094168563729364,0.21667214559560583,0.14773660706401
has_oms,0.0007062215882752465,0.007796344530323361,0.00672327877948383,0.00012124213997817365,0.001044027722898092,0.0012610275698785613
