title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Progress in adsorption-based CO2 capture by metal–organic frameworks,"J Liu, PK Thallapally, BP McGrail, DR Brown…",2012,1521,"… , adsorption at high pressures and selective adsorption at … in the literature to enhance CO 2 adsorption capacities and/or … main categories, catenation and interpenetration, chemical …",NcMuCcIOFKUJ,"J Liu, PK Thallapally, BP McGrail, DR Brown… - Chemical Society …, 2012 - pubs.rsc.org",[],https://pubs.rsc.org/cs/article-abstract/41/6/2308/347173,unknown,unknown
A partially interpenetrated metal–organic framework for selective hysteretic sorption of carbon dioxide,"S Yang, X Lin, W Lewis, M Suyetin, E Bichoutskaia…",2012,533,… porous MOFs as the interpenetration is often unpredictable and … interpenetration of two frameworks but where one of the … new form of framework interpenetration/catenation and as such …,WHdnT0HqzxkJ,"S Yang, X Lin, W Lewis, M Suyetin, E Bichoutskaia… - Nature materials, 2012 - nature.com",[],https://www.nature.com/articles/nmat3343,unknown,unknown
Efficient CO2 Capture and Separation in MOFs: Effect from Isoreticular Double Interpenetration,"S Liu, L Wang, H Zhang, H Fang, X Yue…",2024,25,"… CO2 capture materials, one of the key parts of carbon capture, utilization, and storage (CCUS). In this study, a series of metal− organic frameworks … is that the selectivity of CO2 over CH4/…",eRq_1OXN-_0J,"S Liu, L Wang, H Zhang, H Fang, X Yue… - … Applied Materials & …, 2024 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acsami.3c16622,unknown,unknown
Tuning the Dimensionality of Interpenetration in a Pair of Framework-Catenation Isomers To Achieve Selective Adsorption of CO2 and Fluorescent Sensing of Metal …,"R Wang, M Zhang, X Liu, L Zhang, Z Kang…",2015,34,"… application of CO 2 capture. Hence, developing new porous materials with … selectivity and gas-uptake capacity to CO 2 is still an extremely challenging task. Metal–organic frameworks (…",y9NmI2U3ifAJ,"R Wang, M Zhang, X Liu, L Zhang, Z Kang… - Inorganic …, 2015 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.5b00934,unknown,unknown
"Optimizing selective CO2 adsorption through isoreticular double interpenetration in MOFs: Synergistic enhancement of capacity, selectivity, and thermal stability","S Liu, H Zhang, L Zhang, Y Huang, L Wan, Z Sun…",2025,1,"… Herein, a series of metal-organic frameworks (MOFs) with … selective CO 2 adsorption. The results show that interpenetrated frameworks exhibit enhanced adsorption capacity, selectivity, …",qnq2rBFd2D4J,"S Liu, H Zhang, L Zhang, Y Huang, L Wan, Z Sun… - Materials Today …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2542529325002706,unknown,unknown
"Interpenetrated Metal–Organic Frameworks of Cobalt(II): Structural Diversity, Selective Capture, and Conversion of CO2","B Ugale, SS Dhankhar, CM Nagaraja",2017,59,… layered framework view without the 2-fold interpenetration in … -layered framework view with 2-fold interpenetration in MOF3 … Co(II) metal–organic frameworks using mixed ligand systems …,eqozuTmgz_sJ,"B Ugale, SS Dhankhar, CM Nagaraja - Crystal Growth & Design, 2017 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.cgd.7b00274,unknown,unknown
Regulation of the degree of interpenetration in metal-organic frameworks,"G Verma, S Butikofer, S Kumar, S Ma",2019,63,… the dual nets catenated with each other to … metal–organic framework containing both rigid tetrapodal carboxylate and rigid bifunctional nitrogen linkers exhibiting selective CO2 capture. …,w7kjucojGEEJ,"G Verma, S Butikofer, S Kumar, S Ma - Metal-Organic Framework: From …, 2019 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-47340-2_3,unknown,unknown
Solvent-Induced In(III)-MOFs with Controllable Interpenetration Degree Performing High-Efficiency Separation of CO2/N2 and CO2/CH4,"YQ Zhang, L Liu, WZ Li, BH Wu, CN Li, JQ Chu…",2024,17,"… N2, CO2, and CH4 with highly similar physical and chemical properties.Metal−organic frameworks (MOFs), … Furthermore, to further validate the adsorption selectivity of In-MOF2 for CO2, …",tNhmYCqxxq8J,"YQ Zhang, L Liu, WZ Li, BH Wu, CN Li, JQ Chu… - Inorganic …, 2024 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c04602,unknown,unknown
"Molecular simulations for adsorptive separation of CO2/CH4 mixture in metal-exposed, catenated, and charged metal− organic frameworks","R Babarao, J Jiang, SI Sandler",2009,175,"… Then we investigate the effect of electrostatic interactions between CO2 and the framework on adsorption and selectivity. Finally, the locations of extraframework ions in charged soc-…",AIDB6LUUHOEJ,"R Babarao, J Jiang, SI Sandler - Langmuir, 2009 - ACS Publications",[],https://pubs.acs.org/langd5/article-abstract/25/9/5239/958250,unknown,unknown
Molecular simulation of CO2/H2 mixture separation in metal-organic frameworks: effect of catenation and electrostatic interactions,"Y Qingyuan, XU Qing, LIU Bei",2009,60,… of CO2 and H2 was selected as the model system to separate. The results show that CO2 selectivity in catenated … shows that catenation can greatly enhance the selectivity of CO2 from …,kgm3Y5K_sRgJ,"Y Qingyuan, XU Qing, LIU Bei - Chinese Journal of Chemical …, 2009 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1004954108602773,unknown,unknown
