title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Effect of pore size on heat release from CO2 adsorption in MIL-101, MOF-177, and UiO-66","G Auti, Y Kametani, H Kimura, S Paul…",2023,15,… of metal–organic frameworks (MOFs) and the CO 2 enthalpy of adsorption is of utmost importance to control CO 2 adsorption/… the associated heat in/out to realize their application in heat …,xftp112lB8UJ,"G Auti, Y Kametani, H Kimura, S Paul… - Journal of Materials …, 2023 - pubs.rsc.org",[],https://pubs.rsc.org/ta/article-abstract/11/37/20043/831305,unknown,unknown
Expanding Pore Size of Al-BDC Metal–Organic Frameworks as a Way to Achieve High Adsorption Selectivity for CO2/CH4 Separation,"T Sun, X Ren, J Hu, S Wang",2014,25,… length and the void fraction of the bed; θ is the void fraction of the pellet; and K c and K p are the sorption equilibrium constant based on sorbate concentration in a crystal and a pellet of …,lt3Tz9cCAdwJ,"T Sun, X Ren, J Hu, S Wang - The Journal of Physical Chemistry …, 2014 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/jp411536d,unknown,unknown
Evaluating the CO2 capture performance of a “phase-change” metal–organic framework in a pressure-vacuum swing adsorption process,"D Danaci, E Pulidori, L Bernazzani, C Petit…",2023,10,"… used herein requires adsorption isotherms as a function of temperature and pressure for CO 2 and N 2 , the density and void fraction of the bed, and the adsorbent heat capacity as …",kOdCDbKhOVwJ,"D Danaci, E Pulidori, L Bernazzani, C Petit… - … Systems Design & …, 2023 - pubs.rsc.org",[],https://pubs.rsc.org/me/article-abstract/8/12/1526/813236,unknown,unknown
Thermal engineering of metal–organic frameworks for adsorption applications: a molecular simulation perspective,"J Wieme, S Vandenbrande, A Lamaire…",2019,116,… void fraction) were derived from the optimal structure at 0 K using Zeo++ (72) (N 2 probe molecule with kinetic diameter … 300 K) after adsorbing CH 4 and CO 2 as a function of the heat of …,zZTNj3nfyUUJ,"J Wieme, S Vandenbrande, A Lamaire… - … applied materials & …, 2019 - ACS Publications",[],https://pubs.acs.org/aamick/article/11/42/38697/1341889,unknown,unknown
Adsorption and diffusion of carbon dioxide on the metal-organic framework CuBTB,"MR Armstrong, B Shan, Z Cheng, D Wang, J Liu…",2017,32,… The metal-organic framework (MOF) CuBTB was synthesized and used to … adsorption and diffusion of carbon dioxide (CO 2 ) in the crystal. Experimentally measured CO 2 adsorption …,303raP_OK_4J,"MR Armstrong, B Shan, Z Cheng, D Wang, J Liu… - Chemical Engineering …, 2017 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0009250917302312,unknown,unknown
A partially interpenetrated metal–organic framework for selective hysteretic sorption of carbon dioxide,"S Yang, X Lin, W Lewis, M Suyetin, E Bichoutskaia…",2012,533,"… The CO 2 isotherm shows three steps in the adsorption profile at 195 K, and stepwise filling of pores generated within the observed partially interpenetrated structure has been modelled …",WHdnT0HqzxkJ,"S Yang, X Lin, W Lewis, M Suyetin, E Bichoutskaia… - Nature materials, 2012 - nature.com",[],https://www.nature.com/articles/nmat3343,unknown,unknown
A highly stable metal‐organic framework with optimum aperture size for CO2 capture,"Z Hu, Y Wang, S Farooq, D Zhao",2017,134,… (MHT) synthesis of a highly stable zirconium metal-organic framework (MOF) with an optimum aperture size of 3.93 Athat is favorable for CO2 adsorption. It exhibits excellent …,cUE-8dvEhQ4J,"Z Hu, Y Wang, S Farooq, D Zhao - AIChE Journal, 2017 - Wiley Online Library",[],https://aiche.onlinelibrary.wiley.com/doi/abs/10.1002/aic.15837,unknown,unknown
BTC-based metal-organic frameworks: Correlation between relevant structural features and CO2 adsorption performances,"V Gargiulo, M Alfè, F Raganati, L Lisi, R Chirone…",2018,75,"… of large surface area, permanent porosity and tunable pore size/functionality, have enabled metal-organic frameworks (MOFs) as ideal candidates for CO 2 capture in post-combustion …",NoEaxVdf2WQJ,"V Gargiulo, M Alfè, F Raganati, L Lisi, R Chirone… - Fuel, 2018 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0016236118302539,unknown,unknown
Geometrical Properties Can Predict CO2 and N2 Adsorption Performance of Metal–Organic Frameworks (MOFs) at Low Pressure,"M Fernandez, AS Barnard",2016,119,"… adsorption data from GCMC simulations on ∼16 000 MOFs, we have shown that pore size, void fraction … identify high-performing nanoporous materials for CO 2 and N 2 at pressures of …",SvOAwXWlgBAJ,"M Fernandez, AS Barnard - ACS Combinatorial Science, 2016 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acscombsci.5b00188,unknown,unknown
Microporous metal-organic framework with potential for carbon dioxide capture at ambient conditions,"S Xiang, Y He, Z Zhang, H Wu, W Zhou…",2012,983,"… that a metal-organic frameworks (uTsA-16) displays high uptake (160 cm3cm− 3) of Co2 at … 60), estimated according to the amount of gas adsorbed and the Platon pore volume (30.2%…",hH4JLk5ixA8J,"S Xiang, Y He, Z Zhang, H Wu, W Zhou… - Nature …, 2012 - nature.com",[],https://www.nature.com/articles/ncomms1956,unknown,unknown
