title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Role of Pore Chemistry and Topology in the CO2 Capture Capabilities of MOFs: From Molecular Simulation to Machine Learning,"R Anderson, J Rodgers, E Argueta, A Biong…",2018,268,"… of optimal adsorption sites within MOF pores to enable selective CO2 physisorption, making … CO2 inside the MOF depending on functionality, we decided to analyze probability density …",2zRsHoVnSMgJ,"R Anderson, J Rodgers, E Argueta, A Biong… - Chemistry of …, 2018 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.chemmater.8b02257,unknown,unknown
Computational screening of metal–organic frameworks for separation of CO2 and N2 from wet flue gas,"C Ji, K Zhang",2024,11,"… MOF stability and adsorption selectivity. In real-world applications, the presence of water vapor poses challenges to MOF performance in CO2/N2 … in Table 3; the density distribution of its …",IEy8EjtuS80J,"C Ji, K Zhang - Journal of Materials Science, 2024 - Springer",[],https://link.springer.com/article/10.1007/s10853-024-09744-9,unknown,unknown
Ranking of MOF Adsorbents for CO2 Separations: A Molecular Simulation Study,"Z Sumer, S Keskin",2016,88,"… materials at densities that exceed the densities of gases in … pore limiting diameter (PLD), largest cavity diameter (LCD), … calculated AFM values for CO2 selectivity from N2, CH4, and …",SaHif6PXp2cJ,"Z Sumer, S Keskin - Industrial & Engineering Chemistry Research, 2016 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.iecr.6b02585,unknown,unknown
"Leveraging molecular simulations and machine learning to assess CO2, O2, and N2 adsorption and separation performances of diverse MOF databases","HC Gulbalkan, S Keskin",2025,2,"… properties for high CO 2 /N 2 and O 2 /N 2 selectivity. … MOF, including pore limiting diameter (PLD), the largest cavity … For instance, the accessible surface area, pore volume, and density …",nLk9L9WSXO8J,"HC Gulbalkan, S Keskin - Chemical Engineering Journal Advances, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2666821125002789,unknown,unknown
Finding MOFs for Highly Selective CO2/N2 Adsorption Using Materials Screening Based on Efficient Assignment of Atomic Point Charges,"E Haldoupis, S Nair, DS Sholl",2012,250,… Methods suitable for assigning charges from density functional … Each material was found to have a pore limiting diameter (… for this MOF predict a CO2/N2 adsorption selectivity of 328 at …,JStJLyc5wC0J,"E Haldoupis, S Nair, DS Sholl - Journal of the American Chemical …, 2012 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/ja2108239,unknown,unknown
Database for CO2 separation performances of MOFs based on computational materials screening,"C Altintas, G Avci, H Daglar…",2018,191,"… the MOF database to identify the best materials for CO2 … energy density of natural gas but also to prevent corrosion … 107, and our simulated CO2/N2 selectivity of 20 quantitatively agrees …",HJ0drWRXsZcJ,"C Altintas, G Avci, H Daglar… - … applied materials & …, 2018 - ACS Publications",[],https://pubs.acs.org/aamick/article-abstract/10/20/17257/707611,unknown,unknown
High-Performing Deep Learning Regression Models for Predicting Low-Pressure CO2 Adsorption Properties of Metal–Organic Frameworks,"J Burner, L Schwiedrzik, M Krykunov…",2020,114,"… MOF for postcombustion CCS are high CO 2 /N 2 selectivity … descriptors, such as surface area, pore size, and density have … MOF pores is important for low-pressure adsorption of CO 2 , …",3PnX4oAVT4sJ,"J Burner, L Schwiedrzik, M Krykunov… - The Journal of …, 2020 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.jpcc.0c06334,unknown,unknown
Machine learning for prediction of CO2/N2/H2O selective adsorption and separation in metal-zeolites,"YT Gu, YM Gu, Q Tao, X Wang, Q Zhu…",2023,24,"… geometry of pore limiting diameter (PLD), the size of adsorption … N 2 isotherm has also been utilized as a feature descriptor … (VF), density, and PLD, were chosen as MOF fingerprints to …",86D4RVOjYAkJ,"YT Gu, YM Gu, Q Tao, X Wang, Q Zhu… - Journal of Materials …, 2023 - oaepublish.com",[],https://www.oaepublish.com/articles/jmi.2023.25,unknown,unknown
Machine learning and descriptor selection for the computational discovery of metal-organic frameworks,"K Mukherjee, YJ Colón",2021,70,"… for MOF discovery emphasizing descriptors selected and the … MOF functionalisation would improve the CO2 selectivity … ) and uses 30 descriptors such as pore density, tortuosity, average …",57CCYNLTQpQJ,"K Mukherjee, YJ Colón - Molecular Simulation, 2021 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/08927022.2021.1916014,unknown,unknown
Geometrical Properties Can Predict CO2 and N2 Adsorption Performance of Metal–Organic Frameworks (MOFs) at Low Pressure,"M Fernandez, AS Barnard",2016,119,"… computational methods such as density functional theory have … MOF structures, which also exhibits reasonable pore size … for working capacity, selectivity, and regenerability using more …",SvOAwXWlgBAJ,"M Fernandez, AS Barnard - ACS Combinatorial Science, 2016 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acscombsci.5b00188,unknown,unknown
Computational screening of metal–organic frameworks for separation of CO2 and N2 from wet flue gas,"C Ji, K Zhang",2024,11,"… MOF stability and adsorption selectivity. In real-world applications, the presence of water vapor poses challenges to MOF performance in CO2/N2 … in Table 3; the density distribution of its …",IEy8EjtuS80J,"C Ji, K Zhang - Journal of Materials Science, 2024 - Springer",[],https://link.springer.com/article/10.1007/s10853-024-09744-9,unknown,unknown
Ranking of MOF Adsorbents for CO2 Separations: A Molecular Simulation Study,"Z Sumer, S Keskin",2016,88,"… materials at densities that exceed the densities of gases in … pore limiting diameter (PLD), largest cavity diameter (LCD), … calculated AFM values for CO2 selectivity from N2, CH4, and …",SaHif6PXp2cJ,"Z Sumer, S Keskin - Industrial & Engineering Chemistry Research, 2016 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.iecr.6b02585,unknown,unknown
