title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Unique topology analysis by TOPOSPRO for a metal–organic framework with multiple coordination centers,"X Gao, AY Fu, B Liu, J Jin, LT Dou, LX Chen",2019,14,"… topology types of sra (4 2 , 6 3 , 8), pcu (4 12 , 6 3 ), and dia (6 … may have a significant effect on the gas adsorption properties. … Topology analysis for a four-copper-center MOF [Cu 8 Cl 2 (…",ORold8SAfS4J,"X Gao, AY Fu, B Liu, J Jin, LT Dou, LX Chen - Inorganic Chemistry, 2019 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.8b03104,unknown,unknown
"A pcu topology metal–organic framework, Ni(1,4-bib)(inca)2, that exhibits high CO2/N2 selectivity and low water vapour affinity","SM Shabangu, AC Eaby, S Javan Nikkhah…",2025,2,"… 1,4-Bib can also afford 3D porous structures with dia (ref. 40 … pcu-1-Ni, a new MOF derived by pillaring of sql nets through N-donor linkers. pcu-1-Ni exhibited strong CO 2 adsorption …",WmofJ7OyP_8J,"SM Shabangu, AC Eaby, S Javan Nikkhah… - Journal of Materials …, 2025 - pubs.rsc.org",[],https://pubs.rsc.org/ta/article-abstract/13/23/17562/914304,unknown,unknown
Solvent-induced topological variation in Zn-triazolate-dicarboxylate pillared-layer frameworks for multicomponent ethylene purification,"R Yang, JW Cao, T Zhang, W Wang, Y Wang…",2025,5,"… a 60 cm-long column with an inner diameter of 4 mm and then … enthalpy of four gases, we believe that Zn-mfa-atz-pcu has great … This study presents the fine control of MOF topology by …",NbuH7LvghaMJ,"R Yang, JW Cao, T Zhang, W Wang, Y Wang… - Inorganic …, 2025 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.5c00158,unknown,unknown
Two urea-functionalized pcu metal–organic frameworks based on a pillared-layer strategy for gas adsorption and separation,"J Qiao, X Liu, X Liu, X Liu, L Zhang, Y Liu",2020,30,… to be the main source of the greenhouse effect. Enrichment of carbon dioxide may also lead to … to be one of the most classical topologies. MOFs featuring pcu topology have well-defined …,ni8-9rUEbTgJ,"J Qiao, X Liu, X Liu, X Liu, L Zhang, Y Liu - Inorganic Chemistry …, 2020 - pubs.rsc.org",[],https://pubs.rsc.org/qi/article-abstract/7/18/3500/698810,unknown,unknown
High-capacity dynamic exclusion for highly efficient dilute C2H2 separation from CO2 and multicomponent mixture in robust ultramicroporous MOF by topology …,"T Ke, Q Wang, X Zhu, J Hu, Z Bao, Z Zhang…",2023,17,"… anion and metal node but pcu topology, offering remarkably … The schematic diagram of competitive adsorption to result in … owing to an excellent competitive adsorption effect, showing a …",QmPqH6HNPvsJ,"T Ke, Q Wang, X Zhu, J Hu, Z Bao, Z Zhang… - Chemical Engineering …, 2023 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1385894723035830,unknown,unknown
Doubly interpenetrated metal–organic framework of pcu topology for selective separation of propylene from propane,"T Liu, H Cui, X Zhang, ZY Zhang, RB Lin…",2020,37,… The selective adsorption relies on the sieving effect of the … doubly interpenetrated pillared paddle wheel MOF [Zn 2 (BDC-… N 2 exhibits larger kinetic diameter and weaker interfacial …,sKrW5_jeFgUJ,"T Liu, H Cui, X Zhang, ZY Zhang, RB Lin… - … applied materials & …, 2020 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acsami.0c15517,unknown,unknown
Three metal–organic framework isomers of different pore sizes for selective CO2 adsorption and isomerization studies,"R Zhang, JH Huang, DX Meng, FY Ge, LF Wang…",2020,27,"… We report here three MOF isomers built from Cd II , terephthalic … of framework-topological isomers with topologies of pcu and kag… 3e), which is smaller than the kinetic diameter of a CO 2 …",v2bhpZdD1H8J,"R Zhang, JH Huang, DX Meng, FY Ge, LF Wang… - Dalton …, 2020 - pubs.rsc.org",[],https://pubs.rsc.org/dt/article-abstract/49/17/5618/683510,unknown,unknown
Crystal engineering of flexible metal organic materials,M Shivanna,2019,0,"… of such MOMs based on their gas sorption isotherm profiles as follows, … effect). This thesis also examines the three types of network topologies, primitive cubic unit (pcu), diamondiod (dia…",guNdDKov8lsJ,M Shivanna - 2019 - researchrepository.ul.ie,[],https://researchrepository.ul.ie/entities/publication/35b3c505-90b4-4d80-9643-df797c12b2b1,unknown,unknown
… bifunctional monoethylphosphonate/carboxylates of Zn(ii) and Co(ii) reinforced with DABCO co-ligand: paradigmatic structural organization with pcu topology,"A Goldman, B Gil-Hernández, S Millan, S Gökpinar…",2020,4,"… MOF. It is expected, that the alkyl substituent could tune the … than the kinetic diameter of the N 2 molecule. The respective … the hysteresis and kinetic effects for the CO 2 adsorption, which …",63G2EAjC9d8J,"A Goldman, B Gil-Hernández, S Millan, S Gökpinar… - …, 2020 - pubs.rsc.org",[],https://pubs.rsc.org/ce/article-abstract/22/17/2933/678000,unknown,unknown
"MOFs with PCU Topology for the Inclusion of One-Dimensional Water Cages: Selective Sorption of Water Vapor, CO2, and Dyes and Luminescence Properties","A Dey, D Bairagi, K Biradha",2017,32,"… has a little effect for the selective sorption of CO 2 gas, while the interaction of gas with the … 1 exhibits more symmetric (H 2 O) 12 as repeating cluster, whereas MOF 2 exhibits (H 2 O) …",GcMT46c2od0J,"A Dey, D Bairagi, K Biradha - Crystal Growth & Design, 2017 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.cgd.7b00502,unknown,unknown
